Name,z,S1p4_FIRST,S1p4_err,S6_FIRST,S6_FIRST_err,S6_FIRST_alpha0,S6_FIRST_alpha0_err,L6_FIRST,L6_FIRST_alpha0,L6_FIRST_uplim,L6_FIRST_lolim,DATE_FIRST,S3_VLASS,S3_quaderr,S3_VLASS_final,S3_quaderr_final,L6_VLASS,L6_VLASS_alpha0,L6_VLASS_uplim,L6_VLASS_lolim,S6_VLASS,S6_VLASS_err,S6_VLASS_alpha0,S6_VLASS_alpha0_err,DATE_VLASS,S(6)_p,pmp,L6_Kell,L6_Kell_alpha0,L6_Kell_uplim,L6_Kell_lolim,DATE_VLAC,S6_Aconfig,S6_Aconfig_err,L6_Aconfig,L6_Aconfig_alpha0,L6_Aconfig_uplim,L6_Aconfig_lolim,DATE_VLAA,CLASS,Alpha
115523.74+150756.9,0.287,1400,110,505.489088555533,39.7169998150776,1400.0,110.0,23.0867191609754,23.452430428436102,0.0328489116149314,0.035538325378989,1999-11-15,856.0,216.0,984.4,260.584799065487,23.165457983656896,23.299473997788702,0.101992443812813,0.133543905489508,605.969280248366,160.40875978604,984.4,260.584799065486,2017-10-28,601.0,22.8,23.161881847593698,23.085176864760605,0.0161708984183855,0.0167963846681005,2010-10-20,,,0.0,0.0,0.0,0.0,2021-1-11,RI,-0.7
125807.45+232921.6,0.258,3910,160,1411.7588116086702,57.7701815492037,3910.0,160.0,23.4298547615913,23.8024945631087,0.0174176518293532,0.018145489668148,1995-12-23,3150.0,650.0,3402.0,752.911060883024,23.601107566800998,23.7420521149893,0.086827422530431,0.108637769960323,2094.1766470997,463.47112317586306,3401.9999999999905,752.9110608830221,2020-07-15,2961.0,90.1,23.7515326618786,23.6817562131021,0.0130180345161301,0.0134203420974449,2010-11-1,,,0.0,0.0,0.0,0.0,2021-1-12,RI,0.0
133636.65+420934.1,0.223,2690,100,971.26117729599,36.1063634682524,2690.00000000001,100.0,23.1276593964174,23.5088771267858,0.0158519232711895,0.0164525159211562,1995-10-23,1900.0,110.0,2052.0,202.63747333600497,23.2417797261838,23.3913022032231,0.0408993645028852,0.0451553030972284,1263.1541680918801,124.73799661597499,2051.99999999999,202.63747333600398,2019-03-19,986.0,34.6,23.13420028165,23.0730017617246,0.0149786490550015,0.0155137678573283,2010-11-1,,,0.0,0.0,0.0,0.0,2021-1-13,RI,-0.7
134113.93-005315.0,0.237,5130,160,1852.2564459213502,57.7701815492038,5129.99999999998,159.999999999999,23.466249464765703,23.8440069253191,0.0133383069233695,0.0137609763784842,1998-08-15,2250.0,485.0,2430.0,558.710837553738,23.373433626581203,23.5194958338056,0.0898776248033975,0.113465371212422,1495.84046221408,343.926863164773,2429.99999999999,558.7108375537371,2019-03-24,1926.0,60.0,23.4832046327362,23.4185458429958,0.0133229613708467,0.0137446433780346,2010-11-2,,,0.0,0.0,0.0,0.0,2021-1-14,RI,-0.7
134206.56+050523.8,0.266,3550,140,1281.77590312295,50.5489088555531,3550.0000000000095,140.0,23.417340153531605,23.788052809848498,0.0167980131039663,0.0174739740625963,2000-02-15,1780.0,180.0,1922.4,247.87766995838902,23.3826508116014,23.5216682145892,0.0526715441706972,0.0599528144901634,1183.37601010713,152.58660428111202,1922.40000000001,247.87766995839002,2019-04-22,1618.0,81.9,23.518506568046604,23.446802974069602,0.0214448566163868,0.0225590281207781,2010-11-3,,,0.0,0.0,0.0,0.0,2021-1-15,RI,-0.7
140407.17+213321.6,0.261,3890,150,1404.5375389150201,54.1595452023785,3890.0000000000095,150.0,23.4387644303313,23.8106801200239,0.0164317637848973,0.0170779991252276,1998-10-15,2260.0,480.0,2599.0,589.859920998198,23.495316361835602,23.6355367981992,0.0888291626413904,0.111796062306417,1599.87216514172,363.101373196502,2599.00000000001,589.8599209982,2017-09-21,1703.0,53.2,23.522445727262,23.4519451666608,0.0133593248548346,0.0137833486947442,2010-11-4,,,0.0,0.0,0.0,0.0,2021-1-16,RI,-0.7
141116.72+194440.0,0.238,1080,100,389.948725457124,36.106363468252304,1080.0,99.9999999999999,22.7935901542868,23.1711019533017,0.0384582518191757,0.0421976797944548,1999-11-15,999.0,225.0,1078.92,257.87407303751996,23.0248508958417,23.1706674415277,0.0930752676391848,0.118621792721982,664.1531652230481,158.740112183321,1078.92,257.87407303751996,2019-04-01,762.0,26.8,23.084537620433196,23.0196331691543,0.0150119305935543,0.0155494729615457,2010-11-5,,,0.0,0.0,0.0,0.0,2021-1-17,RI,0.0
144012.74+615633.0,0.275,3210,180,1159.0142673308999,64.991454242854,3210.0,180.0,23.405752197965104,23.774311318919896,0.0236946657982101,0.0250624039025671,2003-12-28,1890.0,400.0,2173.5,491.7664632729649,23.4681020634161,23.6049659310419,0.0885809901280748,0.11140245966219,1337.94619120259,302.71776696445,2173.49999999999,491.76646327296305,2017-11-27,935.0,34.5,23.3124750267265,23.2386178973876,0.0157362025422064,0.0163278937169656,2010-11-6,,,0.0,0.0,0.0,0.0,2021-1-18,RI,-0.7
144930.49-004746.3,0.253,2210,150,797.9506326483729,54.159545202378304,2209.99999999999,149.999999999999,23.163235798088397,23.5370862986863,0.0285197292849959,0.0305250533159573,1998-08-15,1710.0,360.0,1846.8,415.9251489583191,23.316958643611397,23.4591138908803,0.0882119379474289,0.11081821526316,1136.8387512827,256.031961754844,1846.8,415.92514895832,2019-04-23,1563.0,49.2,23.455218752716302,23.386653003020395,0.0134599387976251,0.0138904771179687,2010-12-1,,,0.0,0.0,0.0,0.0,2021-1-19,RI,0.0
145005.13+463521.3,0.293,4490,130,1621.17571972453,46.938272508728,4490.0,130.0,23.612904087642,23.9772013705195,0.0123956345528023,0.0127598517347372,1997-03-25,1870.0,400.0,2019.6,461.224694291188,23.4976183619911,23.630220391539602,0.0893307142230016,0.112593304341686,1243.20962859569,283.917102836656,2019.6,461.224694291188,2019-04-14,1192.0,41.0,23.4793502523366,23.401231284920396,0.014686821191514,0.0152009317744258,2010-12-2,,,0.0,0.0,0.0,0.0,2021-1-20,RI,-0.7
